Funding Agency,Implementing Partner - Type,Implementing Partner - Country,Implementing Partner - DUNS Number,Award - Interagency Transfer Status,Award - Title,Award - Benefitting Location,Award - Status,Award - Total Estimated Value,Award - Signing Date,Award - Start Date,Award - End Date,Transaction - Description,Transaction - Value,Transaction - Date,Transaction - Fiscal Year,Transaction - Quarter,Transaction - Type,Transaction - Finance Type,Transaction - Aid Type,Transaction  - Tied Status,Transaction - DAC Purpose Code Name,Transaction - U.S. Foreign Assistance Category,Treasury Account - Starting Fiscal Year,Treasury Account - Ending Fiscal Year,Submission Date to FA.gov
U.S. Agency for International Development,Government,United States,,Direct Appropriation,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Venezuela,Implementation,0,10/1/05,10/1/05,9/30/19,,28981,6/30/19,2019,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,6/30/19
U.S. Agency for International Development,National NGO,United States,927923250,Direct Appropriation,National Assembly,Venezuela,Implementation,2000000,9/30/16,9/30/16,9/30/20,,1000000,3/31/19,2019,2,Commitment,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2018,2019,3/31/19
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,3585000,4/1/14,3/31/14,9/30/20,,126531,12/31/17,2018,1,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2016,2017,12/31/17
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/17,9/30/18,,859.9,3/31/18,2018,2,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,3/31/18
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,3585000,4/1/14,3/31/14,9/30/20,,52671,6/30/18,2018,3,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2017,2018,6/30/18
Department of State,,,Information Redacted,,Providing Legal Defense to Political Prisoners,Venezuela,,0,,,,Original - GRANTS,35000,2/13/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,6/5/19
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,0,,10/1/13,9/30/19,,24569,3/31/15,2015,2,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2014,2015,3/31/15
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,1600000,8/31/15,8/31/15,9/30/20,,66000,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,12/31/18
U.S. Agency for International Development,National NGO,,15972508,Direct Appropriation,Protection and Promotion of Human Rights in Venezuela,Venezuela,Finalisation,0,9/24/12,9/24/12,9/30/17,,78336,3/31/13,2013,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2012,2013,3/31/13
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Human Rights Leader with Associates Award to Freedom House,Venezuela,Finalisation,1950000,9/9/13,9/9/13,10/31/15,,50676.14,3/31/16,2016,2,Disbursement,Standard grant,Project-type interventions,Tied,Human rights,"Democracy, Human Rights, and Governance",2014,2015,3/31/16
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,-30.6,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,6/30/19
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,3744543,4/1/14,3/31/14,3/31/20,,410326,6/30/18,2018,3,Disbursement,Standard grant,Project-type interventions,Untied,Public finance management (PFM),"Democracy, Human Rights, and Governance",2017,2018,6/30/18
U.S. Agency for International Development,,,,Direct Appropriation,OTI/PEACE & DEMOCRACY ADVNCD IN KEY CONFLICT-PRONE COUNTRIES,Venezuela,Finalisation,0,,10/1/14,9/30/15,,-797,6/30/15,2015,3,Commitment,Standard grant,Project-type interventions,Tied,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2005,0,6/30/15
Department of State,,,Information Redacted,,"Grants, Subsidies and Contributions",Venezuela,Finalisation,0,,,,Original-grants,22000,3/21/18,2018,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,11/2/18
U.S. Agency for International Development,Government,United States,,Direct Appropriation,"Protection, Assistance and Solutions",Venezuela,Implementation,0,,10/1/14,9/30/19,,130666.81,3/31/19,2019,2,Commitment,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,3/31/19
U.S. Agency for International Development,National NGO,United States,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,521266.57,9/30/19,2019,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2018,2019,11/22/19
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,6548.57,3/31/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,3/31/19
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Venezuela Assistance,Venezuela,Finalisation,0,9/15/03,9/15/03,9/30/17,,935818,3/31/13,2013,2,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2012,2013,3/31/13
U.S. Agency for International Development,"Academic, Training and Research",United States,193247145,Direct Appropriation,Feed the Future Innovation Lab for Food Security Policy (FSP),Venezuela,Implementation,0,7/15/13,7/15/13,1/14/20,,15431.81,3/31/19,2019,2,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,3/31/19
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,15.1,5/31/19,2019,3,Disbursement,Standard grant,Project-type interventions,Tied,Disaster prevention and preparedness,Humanitarian Assistance,2019,0,5/31/19
U.S. Agency for International Development,National NGO,,620408971,Direct Appropriation,Private Sector Roadmap,Venezuela,Finalisation,291192,8/1/17,8/1/17,9/30/18,,100811.77,6/30/18,2018,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,6/30/18
U.S. Agency for International Development,Private Sector,United States,809168102,Direct Appropriation,CBSI-DC-ESF-LAC/CAR A&O,Venezuela,Implementation,0,3/26/18,3/26/18,3/25/23,,161527.62,3/31/19,2019,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,3/31/19
U.S. Agency for International Development,National NGO,United States,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,377318.8,3/31/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,3/31/19
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,5185000,4/1/14,3/31/14,9/30/20,,210532,9/30/18,2018,4,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2017,2018,9/30/18
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,0,8/31/15,8/31/15,9/30/20,,15900,9/30/15,2015,4,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2014,2015,9/30/15
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,2290000,4/1/14,3/31/14,9/30/20,,150000,12/31/15,2016,1,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,12/31/15
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Implementation,0,,10/1/18,9/30/19,,22911.99,4/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,4/30/19
U.S. Agency for International Development,National NGO,,15972508,Direct Appropriation,Protection and Promotion of Human Rights in Venezuela,Venezuela,Finalisation,0,9/24/12,9/24/12,9/30/17,,29450.28,3/31/14,2014,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2011,2012,3/31/14
Department of State,,,Information Redacted,,Combatting Corruption in Venezuela,Venezuela,,0,,,,Original - GRANTS,91000,4/11/19,2019,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,10/21/19
U.S. Agency for International Development,Private Sector,,,Direct Appropriation,"Protection, Assistance and Solutions",Venezuela,Implementation,0,,10/1/18,9/30/19,,35609.8,4/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,4/30/19
U.S. Agency for International Development,,,790238638,Direct Appropriation,OTI/PEACE & DEMOCRACY ADVNCD IN KEY CONFLICT-PRONE COUNTRIES,Venezuela,Finalisation,0,,10/1/14,9/30/16,,-61.4,6/30/15,2015,3,Commitment,Standard grant,Project-type interventions,Tied,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2005,0,6/30/15
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,3585000,4/1/14,3/31/14,9/30/20,,264825,9/30/17,2017,4,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2016,2017,9/30/17
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,1400000,8/31/15,8/31/15,9/30/20,,331554,9/30/16,2016,4,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2015,2016,9/30/16
U.S. Agency for International Development,National NGO,,481357460,Direct Appropriation,Humanitarian Assistance in Venezuela,Venezuela,Implementation,1982254,10/1/18,9/30/18,9/30/19,,1982254,9/30/18,2018,4,Commitment,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,9/30/18
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,650000,8/31/15,8/31/15,9/30/20,,42000,3/31/17,2017,2,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2015,2016,3/31/17
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,10/1/07,10/1/12,9/30/13,,1,9/30/13,2013,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,9/30/13
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/12,9/30/13,,14529,3/31/13,2013,2,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,3/31/13
Department of State,,,Information Redacted,,Emergency Assistance for VZ,Venezuela,,0,,,,Original - VOLUNTARY CONTRIBUTIONS,263696,10/30/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2018,2018,7/16/19
U.S. Agency for International Development,Private Sector,,42811732,Direct Appropriation,Program Design and Learning,Venezuela,Implementation,0,,10/1/13,9/30/19,,100431,9/30/15,2015,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2014,2015,9/30/15
U.S. Agency for International Development,,,790238638,Direct Appropriation,Staff Travel Costs,Venezuela,Finalisation,0,,10/1/17,9/30/18,,4521.6,9/30/18,2018,4,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,9/30/18
Inter-American Foundation,,Venezuela,,Direct Appropriation,"Retaining the cacao tradition through economic, environmental, and social development in the Northern sector of the state of Carabobo",Venezuela,,0,,9/5/08,3/5/12,,118253,12/2/08,2009,1,Disbursement,Standard grant,Project-type interventions,Untied,Agricultural development,Economic Development,2009,2012,9/18/13
